Timestamp,  Q1: Which of the following best identifies you?  ,Q2: Which of the following scenarios best reflects your sense of achievement?  ,Q3: Which of the following best describes how you handle decision-making in your daily life? ,Q4: Which of the following best describes how you handle situations that require patience? ,Q5: Which of the following best describes how you view and understand yourself? ,"Situation1: You are offered an internship with a decision-maker in a startup. The internship involves working on an ambiguous project with minimal guidance. Your primary goal is to gain valuable experience, but you also have upcoming placement interviews.",Situation2: You are given a challenging project in your internship that requires solving a complex problem with no clear instructions. The success of the project depends on how you approach and break down the problem.,Situation3: Your college is offering a semester-long elective course that will require significant time and effort but offers no immediate grade or credit benefit. How do you decide whether to enroll?  ,"Situation4: You are offered an internship that provides significant hands-on experience and learning opportunities, but it does not come with an official certificate. You have the chance to work closely with decision-makers on real projects.","Situation5: You are involved in an internship project that requires ongoing effort and iteration. The project will not show immediate results, and it requires a focus on the process rather than expecting quick outcomes.",Name,Advanced,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
18/07/2024 16:47:16,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.",Option B: Receiving compliments and recognition from friends or family for something you've accomplished.,Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option D: Skip the course because I prefer to focus on activities that provide immediate benefits like grades or credits.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Hitesh Badhan ,2,-1,2,2,-1,1,-1,-1,0,0,1
18/07/2024 17:01:07,"Option C: I enjoy exploring new places, but I like to have a detailed itinerary and some certainty about what I will be doing each day.","Option A: Finishing daily tasks quickly and efficiently, allowing you to feel productive and move on to other activities.",Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.",Option A: I focus more on getting things done and I feel that I'd overthink if I think about my strength and weakness,"Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option C: Only enroll if it fits easily into my schedule and does not interfere with my other activities.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Nabeel Ghalib,2,2,-1,2,-1,2,-1,-1,-1,0,1
18/07/2024 17:10:19,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.",Option C: Completing a challenging workout or training regimen that you've been working on for weeks.,Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.",Option D: I am aware of my strengths and weaknesses but prefer to focus on my strengths to stay motivated and positive.,"Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option D: Skip the course because I prefer to focus on activities that provide immediate benefits like grades or credits.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Anay Pund ,1,-1,1,2,-1,0,-1,-1,0,1,1
18/07/2024 17:19:08,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.",Option C: Completing a challenging workout or training regimen that you've been working on for weeks.,Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option C: I sometimes think about my strengths and weaknesses, but I often rely on feedback from others to understand myself better.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option D: Skip the course because I prefer to focus on activities that provide immediate benefits like grades or credits.,"Option B: Accept the internship and emphasize to everyone how it will contribute to your self-development and long-term career growth, even without a certificate.",Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Hemashree M S,-4,-1,1,0,-1,-1,-1,-1,0,-1,1
18/07/2024 17:20:30,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.","Option A: Finishing daily tasks quickly and efficiently, allowing you to feel productive and move on to other activities.",Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option A: Prioritize placement preparation, requesting more structured guidance in the internship to save time for your interview preparations.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option C: Only enroll if it fits easily into my schedule and does not interfere with my other activities.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,"Option A: Dive into the detailed aspects of the project, track markers for measurement, it might take a long time before you see any significant results.",Daksh Sankhla,2,-1,-1,2,-1,1,2,-1,-1,0,2
18/07/2024 17:24:01,"Option C: I enjoy exploring new places, but I like to have a detailed itinerary and some certainty about what I will be doing each day.","Option D: Learning a new skill or hobby and overcoming difficulties along the way, regardless of how well you master it in the end.",Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option D: I enjoy activities like gardening or practicing a musical instrument, even if progress is slow.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Anshika Sharma,5,2,0,2,0,1,-1,-1,1,0,1
18/07/2024 17:26:55,"Option C: I enjoy exploring new places, but I like to have a detailed itinerary and some certainty about what I will be doing each day.",Option C: Completing a challenging workout or training regimen that you've been working on for weeks.,Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,Option B: I often seek advice and approval from others before making a decision to ensure I’m on the right track.,Option D: I am aware of my strengths and weaknesses but prefer to focus on my strengths to stay motivated and positive.,"Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option C: Only enroll if it fits easily into my schedule and does not interfere with my other activities.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Mitali,3,2,1,0,1,0,-1,-1,-1,1,1
18/07/2024 17:29:36,"Option B: When faced with the chance to travel to a completely new place with no set plans, I get excited about the unknown and the potential for unexpected adventures.","Option D: Learning a new skill or hobby and overcoming difficulties along the way, regardless of how well you master it in the end.",Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.",,Option A: Focus on learning and applying established frameworks and structured thinking methods to systematically approach the problem.,Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Prince,5,1,0,0,-1,1,0,2,1,0,1
18/07/2024 17:31:51,"Option B: When faced with the chance to travel to a completely new place with no set plans, I get excited about the unknown and the potential for unexpected adventures.",Option C: Completing a challenging workout or training regimen that you've been working on for weeks.,"Option C: When faced with a decision, I prefer to rely on my own judgment and instincts, even if it means making mistakes along the way.","Option D: I enjoy activities like gardening or practicing a musical instrument, even if progress is slow.",Option D: I am aware of my strengths and weaknesses but prefer to focus on my strengths to stay motivated and positive.,"Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option D: Use this opportunity to network and seek advice from others who have solved similar problems, hoping to gather enough information to complete the project successfully.",Option C: Only enroll if it fits easily into my schedule and does not interfere with my other activities.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Shiva Krishna Reddy Burra,0,1,1,-1,0,0,-1,0,-1,1,0
18/07/2024 17:35:07,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.",Option C: Completing a challenging workout or training regimen that you've been working on for weeks.,Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option D: I enjoy activities like gardening or practicing a musical instrument, even if progress is slow.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Gayatri Rane,1,-1,1,0,0,1,-1,-1,1,0,1
18/07/2024 17:35:59,"Option B: When faced with the chance to travel to a completely new place with no set plans, I get excited about the unknown and the potential for unexpected adventures.","Option D: Learning a new skill or hobby and overcoming difficulties along the way, regardless of how well you master it in the end.",Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option D: I enjoy activities like gardening or practicing a musical instrument, even if progress is slow.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Pratibha Yaduvanshi,3,1,0,0,0,1,-1,-1,1,1,1
18/07/2024 17:37:59,"Option B: When faced with the chance to travel to a completely new place with no set plans, I get excited about the unknown and the potential for unexpected adventures.","Option D: Learning a new skill or hobby and overcoming difficulties along the way, regardless of how well you master it in the end.",Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option D: Use the internship to network and gain recommendations from the decision-maker, hoping it will directly improve your placement prospects.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Paridhi Gupta,4,1,0,2,-1,1,0,-1,1,1,0
18/07/2024 17:43:43,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.","Option A: Finishing daily tasks quickly and efficiently, allowing you to feel productive and move on to other activities.",Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option C: Only enroll if it fits easily into my schedule and does not interfere with my other activities.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Rajni Kant,-4,-1,-1,0,-1,1,-1,-1,-1,1,0
18/07/2024 18:08:33,"Option B: When faced with the chance to travel to a completely new place with no set plans, I get excited about the unknown and the potential for unexpected adventures.","Option A: Finishing daily tasks quickly and efficiently, allowing you to feel productive and move on to other activities.",Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,Option B: I often seek advice and approval from others before making a decision to ensure I’m on the right track.,"Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option D: Use this opportunity to network and seek advice from others who have solved similar problems, hoping to gather enough information to complete the project successfully.",Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,"Option B: Accept the internship and emphasize to everyone how it will contribute to your self-development and long-term career growth, even without a certificate.",Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Ayush Gour,3,1,-1,2,1,1,-1,0,1,-1,0
18/07/2024 18:12:42,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.","Option D: Learning a new skill or hobby and overcoming difficulties along the way, regardless of how well you master it in the end.",Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option D: I enjoy activities like gardening or practicing a musical instrument, even if progress is slow.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,"Option A: Dive into the detailed aspects of the project, track markers for measurement, it might take a long time before you see any significant results.",Diya Shah,1,-1,0,0,0,1,-1,-1,1,0,2
18/07/2024 18:18:25,"Option B: When faced with the chance to travel to a completely new place with no set plans, I get excited about the unknown and the potential for unexpected adventures.",Option C: Completing a challenging workout or training regimen that you've been working on for weeks.,"Option C: When faced with a decision, I prefer to rely on my own judgment and instincts, even if it means making mistakes along the way.","Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option C: I sometimes think about my strengths and weaknesses, but I often rely on feedback from others to understand myself better.","Option D: Use the internship to network and gain recommendations from the decision-maker, hoping it will directly improve your placement prospects.","Option D: Use this opportunity to network and seek advice from others who have solved similar problems, hoping to gather enough information to complete the project successfully.",Option C: Only enroll if it fits easily into my schedule and does not interfere with my other activities.,"Option B: Accept the internship and emphasize to everyone how it will contribute to your self-development and long-term career growth, even without a certificate.",Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Ujjal Roy,-2,1,1,-1,-1,-1,0,0,-1,-1,1
18/07/2024 18:30:48,"Option C: I enjoy exploring new places, but I like to have a detailed itinerary and some certainty about what I will be doing each day.","Option A: Finishing daily tasks quickly and efficiently, allowing you to feel productive and move on to other activities.",Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option D: I enjoy activities like gardening or practicing a musical instrument, even if progress is slow.","Option C: I sometimes think about my strengths and weaknesses, but I often rely on feedback from others to understand myself better.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.",Option A: Focus on learning and applying established frameworks and structured thinking methods to systematically approach the problem.,Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,"Option B: Accept the internship and emphasize to everyone how it will contribute to your self-development and long-term career growth, even without a certificate.",Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Saumitra Chaubey ,3,2,-1,2,0,-1,-1,2,1,-1,0
